crm_company_id,company_name,domain,industry,employee_count,created_at
COMP_000091,orbit solutions,orbit.com,Healthcare,50,2022-04-13T00:00:00
COMP_000092,frost dynamics,frost.com,Healthcare,10,2022-04-02T00:00:00
COMP_000093,spark automation,spark.io,Energy,100,2022-04-06T00:00:00
COMP_000094,Pulse Engineernig,pulse.com,Technology,500,2022-08-09T00:00:00
COMP_000095,quantum analytics,quantum.co,Consulting,1000,2023-04-16T00:00:00
COMP_000096,Alpin Services,alpine.io,Media,5000,2022-03-22T00:00:00
COMP_000097,summit health,summit.com,Energy,10000,2022-07-10T00:00:00
COMP_000098,NOVA COMPUTING,nova.io,Logistics,1000,2023-03-25T00:00:00
COMP_000099,SUMMIT HEALTH,summit.com,Energy,50,2023-02-15T00:00:00
COMP_000100,TechFlow,techflow.com,Healthcare,50,2023-09-19T00:00:00
COMP_000101,pinnacle financial,pinnacle.com,Finance,10,2022-04-18T00:00:00
COMP_000102,FORGE LABS,forge.io,Healthcare,100,2022-11-04T00:00:00
COMP_000103,Puse Engineering,pulse.com,Energy,1000,2022-01-20T00:00:00
COMP_000104,pulse engineering,pulse.com,Finance,50,2023-04-24T00:00:00
COMP_000105,pacific innovations,pacific.io,Consulting,50,2023-02-21T00:00:00
COMP_000106,PULSE ENGINEERING,pulse.com,Healthcare,500,2023-03-16T00:00:00
